id,category,words
120840,Drama-Ticket,"['徵求', '內張', '作者', '看板', '標題', '徵求', '內張', '時間', '徵求', '小', '巨蛋', '演唱', '會內', '張感謝']"
120841,Drama-Ticket,"['換票', '周興', '哲換', '以下', '作者', '二分之一', '看板', '標題', '換票', '周興', '哲換', '以下', '時間', '想', '以', '周興哲', '演唱', '會門票', '兩', '張換', '以下', '兩張', '互補價', '差站', '內信', '聯', '繫', '只', '換', '不', '售', '謝', '謝']"
120842,Drama-Ticket,"['徵求', '周興哲', '你', '好不好', '演唱', '會', '作者', '看板', '標題', '徵求', '周興哲', '你', '好不好', '演唱', '會', '時間', '節目', '周興哲', '你', '好不好', '亞洲', '巡', '迴', '演唱', '會高雄', '巨蛋', '站', '地點', '高雄', '巨蛋', '時間', '六價位', '以上', '價位', '需要', '張數', '連號', '張連號', '備', '註', '站', '內', '信', '會', '付', '郵', '資', '跪求', '大大', '轉讓']"
120843,Drama-Ticket,"['徵求', '周興哲', '兩張', '連號', '作者', '看板', '標題', '徵求', '周興哲', '兩張', '連號', '時間', '徵求', '以下', '張連號', '台北', '基隆', '可', '面交', '其他', '地區', '可', '另議', '方式', '隔天', '是', '朋友', '生日', '希望', '可以', '一起', '進場']"
120844,Drama-Ticket,"['徵求', '徵周', '興哲', '兩張', '作者', '加菲', '看板', '標題', '徵求', '徵周', '興哲', '兩張', '時間', '徵求', '節目', '周興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信', '拜', '託', '了']"
120845,Drama-Ticket,"['徵求', '周興哲', '你', '好不好', '作者', '晃晃', '看板', '標題', '徵求', '周興哲', '你', '好不好', '時間', '節目', '周興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信']"
120846,Drama-Ticket,"['徵求', '周興哲', '演唱', '會門票', '兩張', '作者', '看板', '標題', '徵求', '周興哲', '演唱', '會門票', '兩張', '時間', '徵求', '節目', '周興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '不限', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信', '拜', '託', '了']"
120847,Drama-Ticket,"['徵求', '周興', '哲高雄', '巨蛋', '作者', '小風', '看板', '標題', '徵求', '周興', '哲高雄', '巨蛋', '時間', '表演', '名稱', '周興', '哲高雄', '演唱', '會', '日期', '地點', '高雄', '巨蛋', '徵求', '的', '票', '兩張', '或是', '兩張', '也', '可以', '跪求', '站', '內信']"
120848,Drama-Ticket,"['徵求', '周興', '哲有', '就', '好', '作者', '看板', '標題', '徵求', '周興', '哲有', '就', '好', '時間', '徵求', '節目', '周興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '不限', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信']"
120849,Drama-Ticket,"['售票', '原子', '邦', '妮', '高雄場', '作者', '滾滾', '看板', '標題', '售票', '原子', '邦', '妮', '高雄場', '時間售', '一張', '今晚', '原子', '邦', '妮', '我', '在', '宇宙', '的', '邊緣', '巡', '迴', '演唱', '會', '高雄場', '單人', '預售']"
120850,Drama-Ticket,"['售票', '可', '拆', '作者', '微笑', '小可', '愛看', '板', '標題', '售票', '可', '拆', '時間', '約點', '到', '現場', '需要', '的', '請', '直接', '給我', '聯絡', '方式', '還沒', '刪文', '都', '還有', '喔']"
120851,Drama-Ticket,"['換票', '西城', '男孩', '換楊丞琳', '作者', '第二', '人生', '看板', '標題', '換票', '西城', '男孩', '換楊丞琳', '時間', '持有', '黃', '張', '和', '西城', '男孩', '橙區', '張欲換', '楊丞琳', '生日', '會', '不限區位', '張互', '補價', '差意者', '站', '內', '謝謝']"
120852,Drama-Ticket,"['售票', '周興', '哲連號', '兩張', '希望', '能', '幫忙', '索票', '金曲', '獎', '作者', '寶島', '阿宅', '看板', '標題', '售票', '周興', '哲連號', '兩張', '希望', '能', '幫忙', '索票', '金曲', '獎時間', '讓', '連號', '兩張', '但', '希望', '能夠', '幫忙', '索取', '今年', '的', '金曲', '獎門票', '很', '像', '還沒', '公布', '如何', '索票', '或是', '演唱', '會', '的', '門票', '謝謝']"
120853,Drama-Ticket,"['徵求林', '宥', '嘉', '香港', '作者', '看板', '標題', '徵求林', '宥', '嘉', '香港', '時間', '徵原價', '希望', '段數', '行數', '感激', '不盡']"
120854,Drama-Ticket,"['徵求', '周興', '哲連號', '兩張', '作者', '翔', '看板', '標題', '徵求', '周興', '哲連號', '兩張', '時間', '徵求', '節目', '周興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '內', '皆', '可', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信']"
120855,Drama-Ticket,"['閱讀', '文章', '已', '售出', '編輯']"
120856,Drama-Ticket,"['售票', '獅子', '王', '作者', '哈哈哈', '嘻嘻', '看板', '標題', '售票', '獅子', '王時間', '節目', '百老', '匯音樂劇', '獅子', '王地點', '臺', '北小', '巨蛋', '時間', '年月日', '位置', '樓黃區', '排號', '原價售價', '張數', '交易方式', '台', '中', '北屯', '區', '面交', '連絡', '方式', '站', '內信', '備', '註']"
120857,Drama-Ticket,"['徵求', '周興', '哲不限', '連號', '四張', '作者', '明迪', '看板', '標題', '徵求', '周興', '哲不限', '連號', '四張', '時間', '節目', '周興哲', '你', '好不好', '亞洲', '巡', '迴', '演唱', '會高雄', '巨蛋', '站', '地點', '高雄', '巨蛋', '時間', '六價位', '不限', '需要', '張數', '連號', '張', '也', '可', '拆聯絡', '方式', '站', '內信', '備', '註', '高', '雄', '可', '面交', '希望', '有緣', '人', '讓', '票', '謝謝']"
120858,Drama-Ticket,"['徵求', '周興', '哲高雄', '演唱', '會', '作者', '看板', '標題', '徵求', '周興', '哲高雄', '演唱', '會', '時間', '節目', '周興哲', '你', '好不好', '亞洲', '巡', '迴', '演唱', '會高雄', '站', '地點', '高雄', '巨蛋', '時間', '六價位', '以上', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信', '因', '為', '想要', '四人', '都', '能', '去', '看', '但', '目前', '只有', '兩張', '等待', '有緣', '人', '讓', '票', '謝謝', '大家']"
120859,Drama-Ticket,"['閱讀', '文章', '編輯']"
120860,Drama-Ticket,"['換票', '李玟', '王力宏', '換周', '興哲', '盧廣仲', '作者', '看板', '標題', '換票', '李玟', '王力宏', '換周', '興哲', '盧廣仲時間', '持有', '王力宏', '連李玟', '連想換', '周興哲', '以下', '連盧廣仲', '或連', '只換', '暫不售', '互補', '差價', '高雄', '台南', '雙北', '可', '面交', '意者', '站', '內']"
120861,Drama-Ticket,"['徵求', '以下', '作者', '看板', '標題', '徵求', '以下', '時間', '節目', '台北', '演唱', '會', '需要', '以下', '兩張', '開場', '前', '直接', '面交', '麻煩', '站', '內信', '或']"
120862,Drama-Ticket,"['售票', '王力宏', '龍', '的', '傳人', '世界', '巡', '迴', '演唱', '會', '作者', '看板', '標題', '售票', '王力宏', '龍', '的', '傳人', '世界', '巡', '迴', '演唱', '會', '時間', '節目', '王力宏', '龍', '的', '傳人', '世界', '巡', '迴', '演唱', '會', '地點', '台北', '小', '巨蛋', '時間', '月', '日', '時分', '位置', '特區', '排靠', '走', '道特', '區排', '靠', '走', '道', '原價售', '價原', '價售', '給力', '宏迷', '張數', '均', '張連號', '交易方式', '雙北捷', '運站', '面交', '連絡', '方式', '站', '內信', '備', '註', '期望', '能', '找到', '欣賞', '力宏', '的', '同好', '一起', '來', '感受', '的', '現場', '魅力', '吧']"
120863,Drama-Ticket,"['售票', '相約', '王力宏', '作者', '看板', '標題', '售票', '相約', '王力宏', '時間', '節目', '王力宏', '龍', '的', '傳人', '世界', '巡', '迴', '演唱', '會', '地點', '台北', '小', '巨蛋', '時間', '月', '日', '時分', '位置', '特區', '排靠', '走', '道', '紅區', '排紫區', '排原', '價售', '價均', '原價', '出售', '張數', '張連號', '不', '拆售', '交易方式', '雙北捷', '運站', '面交', '連絡', '方式', '站', '內信', '備', '註', '期望', '能', '找到', '欣賞', '力宏', '的', '同好', '一起', '來', '感受', '的', '現場', '魅力', '吧']"
120864,Drama-Ticket,"['已', '售出', '周興哲', '你', '好不好', '高雄', '站', '作者', '看板', '標題', '已', '售出', '周興哲', '你', '好不好', '高雄', '站', '時間', '已', '售出', '節目', '周興哲', '你', '好不好', '亞洲', '巡', '迴', '演唱', '會高雄', '站', '地點', '高雄', '巨蛋', '時間', '月', '日', '時分', '位置', '紅區', '橙區', '原價售價', '張數', '各張', '交易方式', '匯款後給', '序號', '取票', '連絡', '方式', '站', '內信', '備', '註', '版', '上', '已有', '多次', '讓', '票紀錄', '若', '有', '疑慮', '請', '勿', '來', '信謝', '謝非', '先', '搶', '先', '贏來', '信請', '有', '禮貌', '並簡述', '為', '什麼', '要', '這張', '門票', '可', '分售']"
120865,Drama-Ticket,"['徵求', '周興', '哲高雄場', '連號', '兩張', '作者', '看板', '標題', '徵求', '周興', '哲高雄場', '連號', '兩張', '時間', '徵求', '連號', '張節', '目周', '興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信']"
120866,Drama-Ticket,"['徵求', '周興', '哲高雄', '巨蛋', '演唱', '會', '作者', '期許', '自己', '看板', '標題', '徵求', '周興', '哲高雄', '巨蛋', '演唱', '會', '時間', '節目', '周興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '需要', '張數', '連號', '張', '聯', '繫', '方式', '站', '內信', '拜', '託', '各位', '了', '真的', '很', '想', '聽']"
120867,Drama-Ticket,"['售票', '人間', '條件', '二', '作者', '韓德森', '看板', '標題', '售票', '人間', '條件', '二時間', '買', '了', '兩', '張票', '身邊', '沒', '有人', '想', '一起', '去', '看', '所以', '出售', '一張', '如果', '要', '當天', '面交', '就', '約', '城市', '舞台', '要', '提前', '交易', '的', '話', '捷運有', '到', '的', '地方', '都', '可以', '日期', '地點', '城市', '舞台', '票價', '座位', '樓', '排號', '發信', '站', '批', '踢踢', '實業坊', '來', '自', '文章', '網址']"
120868,Drama-Ticket,"['急售', '世貿三館', '國際', '零食', '展', '作者', '奶昔', '看板', '標題', '急售', '世貿三館', '國際', '零食', '展時間', '節目', '國際', '零食', '展門票', '地點', '世貿三館', '時間', '原價', '張售', '價張', '張數', '交易方式', '中壢', '桃園', '內壢', '面交', '連絡', '方式', '站', '內信', '請', '留', '或', '手機']"
120869,Drama-Ticket,"['徵求', '見', '面會', '作者', '看板', '標題', '徵求', '見', '面會', '時間', '時間', '地點', '三創', '位置', '任區', '張聯絡', '方式', '站', '內信', '交易方式', '台北', '可', '面交', '謝謝']"
120870,Drama-Ticket,"['換票', '周興', '哲高雄', '巨蛋', '演唱', '會', '作者', '看板', '標題', '換票', '周興', '哲高雄', '巨蛋', '演唱', '會', '時間', '周興', '哲高雄', '場換', '只換', '不售', '意者', '站', '內信']"
120871,Drama-Ticket,"['售票', '阮劇團', '嫁', '妝', '一牛車', '歌劇院', '作者', '看板', '標題', '售票', '阮劇團', '嫁', '妝', '一牛車', '歌劇院', '時間', '節目', '阮劇團', '流山兒', '事務', '所', '嫁', '妝', '一牛車', '地點', '臺', '中國家', '歌劇', '院中', '劇院', '時間', '月', '日', '時分', '位置', '樓區', '排號', '原價售', '價早', '鳥折', '張數', '交易方式', '轉票', '連絡', '方式', '站', '內信', '電話', '備', '註']"
120872,Drama-Ticket,"['急售', '戲劇', '六', '我', '和', '我', '的', '貓奴', '作者', '睡貓', '看板', '標題', '急售', '戲劇', '六', '我', '和', '我', '的', '貓奴', '時間', '節目', '働', '故事', '劇團', '我', '和', '我', '的', '貓奴', '地點', '新竹', '縣', '政府', '文化局', '實驗', '劇場', '竹北', '市', '縣政', '九路', '號時間', '月', '日', '週六', '位置', '自由', '入座', '原價', '早鳥', '折售價', '張數', '交易方式', '宜蘭', '可', '面交', '台北', '的', '話', '只有', '明天', '可以', '其他', '只能', '郵寄連絡', '方式', '站', '內信', '備', '註', '臨', '時', '有事', '不能', '去', '原本', '是', '想', '去', '看', '萱', '萱', '的']"
120873,Drama-Ticket,"['換票', '周興', '哲連', '號換', '金曲', '獎', '作者', '看板', '標題', '換票', '周興', '哲連', '號換', '金曲', '獎時間', '持有', '周興', '哲橙區', '連號', '想換', '金曲', '座位', '區張', '可以', '換或換', '需補', '差價']"
120874,Drama-Ticket,"['售票', '作者', '看板', '標題', '售票', '時間', '節目', '傑森瑪', '耶茲亞洲', '巡', '迴', '演唱', '會', '台北', '站', '地點', '臺', '北小', '巨蛋', '時間', '月', '日', '時分', '位置', '特區排', '原價', '張售', '價張', '張數', '張連號', '預算', '不夠', '的', '話', '可以', '談', '喔', '交易方式', '台北', '面交', '小', '巨蛋', '約', '郵寄連絡', '方式', '站', '內信', '請', '留給', '我', '跟', '電話']"
120875,Drama-Ticket,"['徵求', '演唱', '會', '以下', '作者', '世界', '在', '跟', '我作', '對', '看板', '標題', '徵求', '演唱', '會', '以下', '時間', '如題', '如果', '有票', '請', '站', '內信', '謝謝']"
120876,Drama-Ticket,"['急售', '傑森張', '連號', '小', '巨蛋', '面交', '作者', '天然', '健康', '看板', '標題', '急售', '傑森張', '連號', '小', '巨蛋', '面交', '時間', '標題', '請', '用', '急售節', '目名', '稱', '請', '注意', '本版', '禁止', '販售', '黃', '牛票', '也', '不得', '用', '任何', '名義加', '價張', '貼', '前', '請', '詳', '閱置', '底版', '規如張', '貼', '完成', '若有', '違反', '規定者', '都', '會', '直接', '按照', '版規', '開罰', '還請', '配合', '發文前', '可將', '上述', '說明', '以及', '本行', '文字', '按下', '刪除', '節目', '傑森', '地點', '小', '巨蛋', '時間', '月', '日', '時分', '位置', '原價售', '價張', '數張', '可', '拆售', '交易方式', '面交', '郵寄貨到', '付款', '宅配', '連絡', '方式', '站', '內信', '電話', '備', '註']"
120877,Drama-Ticket,"['售票', '王力宏', '連', '作者', '炫炫', '看板', '標題', '售票', '王力宏', '連時間', '節目', '王力宏', '龍', '的', '傳人', '世界', '巡', '迴', '演唱', '會', '地點', '台北', '小', '巨蛋', '時間', '月', '日', '時分', '位置', '紫區', '排原', '價售', '價均', '原價', '出售', '張數', '張連號', '交易方式', '高雄衛', '武營', '捷運', '站號', '出口', '面交', '郵寄由', '買家', '負擔', '運費', '連絡', '方式', '站', '內信', '發信', '站', '批', '踢踢', '實業坊', '來', '自', '文章', '網址']"
120878,Drama-Ticket,"['售票', '首場', '獅子', '王', '作者', '小妮', '看板', '標題', '售票', '首場', '獅子', '王時間', '節目', '百老', '匯音樂劇', '獅子', '王地點', '臺', '北小', '巨蛋', '時間', '年月日', '星期六', '位置', '樓紅區', '排號', '原價售價', '張數', '交易方式', '自領', '連絡', '方式', '站', '內信']"
120879,Drama-Ticket,"['售票', '阿拉丁', '交換券', '作者', '看板', '標題', '售票', '阿拉丁', '交換券', '時間', '標題', '請', '用', '售票', '節目', '名稱', '請', '注意', '第一次', '貼文', '的', '的', '請', '先', '看', '完置', '底版', '規再', '發文會', '寫', '在', '上面', '通常', '都', '是', '常', '違規', '的', '事項', '本版', '禁止', '販售', '黃', '牛票', '也', '不得', '用', '任何', '名義加', '價張', '貼', '前', '請', '詳', '閱置', '底版', '規如張', '貼', '完成', '若有', '違反', '規定者', '都', '會', '直接', '按照', '版規', '開罰', '還請', '配合', '發文前', '可將', '上述', '說明', '以及', '本行', '文字', '按下', '刪除', '節目', '阿拉丁', '地點', '全省', '戲院', '皆', '可售價', '張數', '交易方式', '捷運', '沿線', '面交', '其餘', '郵寄聯絡', '方式', '站', '內信', '備', '註']"
120880,Drama-Ticket,"['換票', '周興', '哲換', '金曲', '獎', '作者', '橫刀', '奪愛才', '是', '愛看', '板', '標題', '換票', '周興', '哲換', '金曲', '獎時間', '持有', '周興', '哲綠區', '張想換', '金曲', '獎樓', '或', '特區', '張', '不', '需補', '差價', '意者', '站', '內信']"
120881,Drama-Ticket,"['徵求', '周興', '哲高雄', '巨蛋', '演唱', '會張', '作者', '阿建', '看板', '標題', '徵求', '周興', '哲高雄', '巨蛋', '演唱', '會張', '時間', '徵求', '連號', '張節', '目周', '興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信']"
120882,Drama-Ticket,"['急售', '一張', '作者', '微笑', '小可', '愛看', '板', '標題', '急售', '一張', '時間', '人', '已', '在', '現場', '需要', '請給', '我', '聯絡', '方式']"
120883,Drama-Ticket,"['售票', '周興', '哲高雄場', '單張', '作者', '看板', '標題', '售票', '周興', '哲高雄場', '單張', '時間', '已', '售出', '節目', '周興哲', '你', '好不好', '亞洲', '巡', '迴', '演唱', '會高雄', '站', '地點', '高雄', '巨蛋', '時間', '月', '日', '時分', '位置', '紅區', '原價售價', '張數', '只有', '張', '交易方式', '付款', '取票', '連絡', '方式', '站', '內信', '備', '註', '非', '先', '搶', '先', '贏', '可', '換', '座位', '區優先', '有', '粉絲證', '明加', '分來', '信請', '有', '禮貌', '勿', '一', '行文', '會選', '一位', '回覆', '謝謝']"
120884,Drama-Ticket,"['售票', '莊子', '兵法', '人性', '遊戲度', '玩命', '作者', '看板', '標題', '售票', '莊子', '兵法', '人性', '遊戲度', '玩命', '時間', '節目', '莊子', '兵法', '人性', '遊戲度', '玩命', '地點', '新北市', '藝文', '中心', '演藝廳', '新北市', '板橋區', '莊敬路號', '時間', '月', '日', '時分', '位置', '一樓', '排號', '一樓', '排號', '原價售價', '張數', '交易方式', '台北市', '松山', '南港', '內', '湖面', '交連絡', '方式', '站', '內信']"
120885,Drama-Ticket,"['徵求', '博恩', '夜夜', '秀', '第二季', '六月份', '場次', '作者', '看板', '標題', '徵求', '博恩', '夜夜', '秀', '第二季', '六月份', '場次', '時間', '由', '於', '朋友', '七月', '離開', '台灣', '希望', '可以', '在', '六月', '看到', '麻煩', '有', '多票', '或是', '臨時', '不能', '到場', '的', '能夠', '讓', '票給', '我', '謝謝', '六月份', '場次', '皆', '可', '希望', '同一', '場次', '兩張', '以上', '麻煩', '站', '內信', '聯', '繫', '謝', '謝']"
120886,Drama-Ticket,"['售票', '王力宏', '台北', '演唱', '會元', '降售', '作者', '看板', '標題', '售票', '王力宏', '台北', '演唱', '會元', '降售', '時間', '節目', '王力宏', '龍', '的', '傳人', '地點', '台北', '小', '巨蛋', '時間', '月', '日', '時分', '位置', '特區', '原價元售', '價元', '張數', '張', '交易方式', '台北', '高雄', '面交', '郵寄連絡', '方式', '站', '內信', '備', '註', '請', '確', '定', '要', '買', '再', '來', '信', '來', '信', '請', '有', '禮', '可', '留', '方便', '聯', '繫', '謝', '謝']"
120887,Drama-Ticket,"['徵求', '周興', '哲連號', '兩張', '作者', '阿鄭', '看板', '標題', '徵求', '周興', '哲連號', '兩張', '時間', '徵求', '連號', '張節', '目周', '興哲', '你', '好不好', '地點', '高雄', '巨蛋', '時間', '六價位', '需要', '張數', '連號', '張', '備', '註', '站', '內', '信']"
120888,Drama-Ticket,"['徵求', '鐘樓', '怪人', '晚場', '張', '作者', '看板', '標題', '徵求', '鐘樓', '怪人', '晚場', '張時間', '徵求', '鐘樓', '怪人', '張價位', '以下', '站', '內信', '謝謝']"
120889,Drama-Ticket,"['售票', '周興', '哲元', '單張', '作者', '看板', '標題', '售票', '周興', '哲元', '單張', '時間', '售出', '光', '速洽', '談若該', '版友', '放棄', '會', '依有', '回答', '選項', '之', '版友', '回信', '聽', '說', '會', '加場', '只有', '單張', '周興', '哲高雄', '小', '巨蛋', '元單', '張拓元', '尚未', '取票', '交易方式', '如下', '轉帳', '後', '自行', '取元', '第一', '優先', '台北', '特定', '捷運站', '面交', '其他', '有意', '願者', '來', '信', '回答', '選項', '若來', '信多', '不', '一', '一回', '見諒', '已', '在', '板', '上', '多次', '交易', '門票', '謝謝']"
120890,Drama-Ticket,"['徵求', '野村', '萬作', '歲', '尼', '籪', '齋', '狂言', '劇場', '作者', '小威', '看板', '標題', '徵求', '野村', '萬作', '歲', '尼', '籪', '齋', '狂言', '劇場', '時間', '想', '徵', '以上', '兩張', '五', '的', '場次', '台南', '高雄', '面交', '或', '掛號', '郵寄皆可', '謝謝']"
120891,Drama-Ticket,"['換票', '演唱', '會換', '的', '票', '作者', '看板', '標題', '換票', '演唱', '會換', '的', '票', '時間', '節目', '名稱', '地點', '台北', '國際會議', '中心', '朋友', '手上', '有', '一張', '樓區域', '排', '的', '票', '位置', '算蠻', '前面', '的', '欲', '換成', '或', '的', '交換者', '需補', '差額', '意者', '站', '內', '信並', '告知', '您', '的', '區域', '備', '註', '台北', '面交', '附上', '座位', '圖發信', '站', '批', '踢踢', '實業坊', '來', '自', '文章', '網址', '編輯']"
120892,Drama-Ticket,"['急售', '彰化', '員林', '演藝廳', '三人行', '不行', '作者', '咖樂斯', '看板', '標題', '急售', '彰化', '員林', '演藝廳', '三人行', '不行', '時間', '節目', '三人行', '不行', '狂熱', '加演', '場地點', '彰化', '縣', '文化局', '員林', '演藝廳', '表演', '廳', '時間', '月', '日', '時分', '位置', '樓下排', '正中', '間', '原價售價', '張數', '交易方式', '面交', '連絡', '方式', '站', '內信', '備', '註', '臨', '時', '有事', '可', '單售', '可', '演出', '前面', '交']"
120893,Drama-Ticket,"['售票', '降售', '台南人', '劇團', '作者', '嗶', '嗶', '看板', '標題', '售票', '降售', '台南人', '劇團', '時間', '節目', '台南人', '劇團', '青春', '正鬧版', '地點', '水源', '劇場', '時間', '月', '日', '時分', '時分', '位置', '區第排', '原價售價', '張數', '交易方式', '面交', '郵寄貨到', '付款', '宅配', '連絡', '方式', '站', '內信', '電話', '備', '註', '一', '張', '票', '可以', '看', '下午', '晚上', '場', '朋友', '臨時', '不能', '去', '降售給', '有', '緣', '人']"
