id,category,words
1,Gossiping,新聞柯怒被竊聽林洲民打臉熱烈對話無關竊聽作者看板標題新聞柯怒被竊聽林洲民打臉熱烈對話無關竊聽時間引述之銘言柯北加油柯北挺住離職的林洲民球官不成挾怨報復一定是綠吱新潮流柯黑惡勢力暗樁無的放矢亂質疑的呱吉和簡七段都是大柯黑陰謀的壞分子遠雄大巨蛋案就是第二個器官移植栽贓事件柯北你不能退縮一定要選總統到底給綠垃圾教訓柯粉團結起來一定挺你選總統唯一支持柯阿北柯怒被竊聽林洲民打臉熱烈對話無關竊聽聯合報記者林政忠即時報導民進黨台北市議員簡舒培昨天質詢拿出段錄音檔質疑柯市府內局處首長喬大巨蛋台北市長柯文哲當場怒斥高雄市長韓國瑜還懷疑被竊聽台北市府很明白的被竊聽還要簡舒培說出是誰給錄音檔我台北市政府是讓妳竊聽的嗎台北市前都發局長林洲民今晨在臉書貼文昨天下午柯文哲在議事廳和議員們熱烈論及去年月日下午在市府樓第一準備室的大巨蛋會議他有四點感想兩天前聽了簡舒培帶到他辦公室的數段錄音檔後十分難過這些內容勾起他心中深處無限的痛苦是的這就是他月日月日臉書所言市長室前主任李文宗長期惡意干涉都發局大巨蛋都審踐踏中華民國文官體制當天會議之後他確實清楚轉述給都發局同仁他在會議中所表達的兩個重點都發局不能也不會主動更正年月日及月日的兩次大巨蛋都審決議若容留人數以人通過都審遠雄必須以人重新作環差換言之他反對環差及都審是兩個不同的數字及這是違反了去年月日及月日的兩次都審決議的從去年的母親節到年底都發局處理大巨蛋都審的所有同仁們大家委屈了只有我們知道那個月的霸凌是多麼可悪我們內心的深處有把尺我們心中知道如何衡量真理我們審理大巨蛋所依據的是我們的專業以及我們對台北市民公共安全的堅持再說一遍他母親給他的最重要的資產就是他所給我的教育使他足以作對的事把事情作好不會對威權屈服林洲民表示各位台北市民昨天在議事的熱烈對話當然無關竊聽熱烈對話的全程最重要的是討論悠關大巨蛋的公共安全從今天開始經過昨天的熱烈對話任何惡意干涉都發局大巨蛋都審的行徑應該會就此打住至於踐踏中華民國文官體制的惡劣行為至少應該會收斂一陣子吧凡事都要往好的方向想啦經過簡與林這兩人的立論重新幫我們定義了幾件事喬的定義議員放出音檔明明沒在喬卻說那是喬好啦就把那個當做在喬好了那以這標準從現在開始可以檢視全省縣市首長的開會就可以發現幾乎所有會都可以定義成在喬事情竊聽的定義原來熱烈討論就不是竊聽啊那大家可以任意放竊聽器在任何辦公室和別人家中了夫妻吵架算是熱烈討論不算竊聽科學家們在會議室熱烈的討論機密的研究不算竊聽壓公文的定義的縣市長們假日都得要去自己的辦公室看是否有禮拜五送來的公文沒批的因為公文經過沒人上班的六日就是你在壓公文喔公文明明送達六日沒批這是很嚴重的失職喔事件影片建議在心平氣和時看因為有些議員的立論容易使人看了抓狂這星期經過了韓導原本惡意要打的派人往辦公室竊聽議題結果沒打成結果有議員卻自動要將整個黨再推向竊聽這個方向真是高明呀吳開了韓外遇這個議題結果新聞三分之一左右被妳的喬蛋竊聽蓋過了想必這兩天應該會有高層罵妳吧
2,Gossiping,問卦擁有什麼車能把到妹作者看板標題問卦擁有什麼車能把到妹時間是說本宅的偉世牌舊車最近換成山葉了車庫裡還有一台捷安特這樣把得到妹嗎有卦
3,Gossiping,討論柯文哲早上聯訪逐字作者天元突破看板標題討論柯文哲早上聯訪逐字時間引述馬克思之銘言引述天元突破之銘言這很明顯就是柯的所謂的公開透明是指檯面上的所以開會前呢要先開一個沒有記錄的會前會這次被偷錄的就是私底下喬的會前會把爭議搞定解決產生共識最後再開正式的公開透明會議搞個煞有其事的會議紀錄讓柯糞吸點白粉充值信仰走個流程柯糞已經被教育成沒看到的就是沒有只相信放出來的反觀最近初選直接吵鬧外加關直播那種會議比較貼近真實呢喔忘了說這招其實寶山應該蠻常用的真是壞習慣呢信眾的特色柯說什麼都是對的要當立論的基本出發點柯在今天聯訪其實有講一句如果真的要搞密室會議不會十幾個人在那裏七嘴八舌要是有什麼會前會早就爆了柯人緣又不好誰不想抓他辮子打柯一直都是藍綠共識抓不到把柄就各種腦補抹黑看看開房堅就知道不然就是錄音剪接出來黑公文躺兩天也在黑可憐這種不叫密室會議那叫做私下研議好了十幾個人七嘴八舌目的就是要幫遠雄繞過去阿誰知道裡面有一個洲民在那邊靠北不合群所以洲民的下場大家都知道惹剩下的人都還在呢柯不會北七到親自下令直接繞過去因為這樣子會被抓但是他可以請部下研議如何盡快通過等研議的方案出來就可以開一個公開透明的會議紀錄惹白粉就可以繼續吸充值信仰阿北好棒對啦沒在喬研議戰術而已
4,Gossiping,問卦今年籃球冠軍會是林家拿下的嗎作者立二看板標題問卦今年籃球冠軍會是林家拿下的嗎時間富邦勇士林書緯林書豪的弟弟率隊拿下隊史首座總冠軍然後現在換哥哥帶領多倫多暴龍隊打進總冠軍賽照這樣看今年籃球冠軍最大贏家應該是林書豪兄弟檔吧看來林書豪要幫助暴龍隊拿下隊史首冠
5,Gossiping,新聞韓國瑜怪事年年有沒有今年多作者幸四郎看板標題新聞韓國瑜怪事年年有沒有今年多時間媒體來源中時曹明正完整新聞標題韓國瑜怪事年年有沒有今年多完整新聞內文高雄巿長韓國瑜日在議會被問到最近一連串事件有感而發說怪事年年有沒有今年多對高雄巿一點幫助也沒有他強調年來抹黑中傷沒停過他已打破愛與包容下午他會對美麗島電子報董事長吳子嘉提告休息時聯訪被問到近來內外夾攻韓也說年來抹黑中傷沒有停過台北巿長柯對於喬蛋會議錄音檔外流他也身有同感尤其巿政府員工每天進到巿長辦公室絕對沒辦法只跟一般的竊盜聯想在一起針對吳子嘉他強調今天下午會正式提告他也拜託檢察官盡速開庭這是中華民國國民最卑微的請求能還這件事真正公道的只有檢察官屆時所有跟這件事有關的人都會應訊真相自然會大白誰違法都會被起訴完整新聞連結或短網址備註還不都是廠工和在那裏作怪構陷忠良
6,Gossiping,新聞幫開上八卦下八卦全盲假濟公猥褻作者看板標題新聞幫開上八卦下八卦全盲假濟公猥褻時間媒體來源自由記者署名陳慰慈完整新聞標題幫開上八卦下八卦全盲假濟公猥褻婦人完整新聞內文記者陳慰慈新北報導歲婦人想頂讓店面得知新北市樹林區一間宮廟張姓堂主有意承接兩人約好在宮廟簽約未料張男酒後竟假藉濟公附身要幫婦人開上八卦胸部下八卦下體為由撫摸婦人胸部下體婦人哭求法官嚴辦這神棍社會敗類把他抓去關新北地院今依強制猥褻罪判張男徒刑年月可上訴判決指出張男除從事算命改運等工作因全盲亦從事按摩並擔任台灣濟公盲人愛心會理事長婦人因身體不佳有意頂讓店面經孫女牽線介紹認識有意租店面做按摩的張男年月日雙方約定到宮廟簽約繳錢未料著濟公服的張男卻支開其他人獨留他跟婦人在佛堂接著以要幫婦人開上八卦下八卦為由將手伸入婦人衣內撫摸胸部後再伸手隔著外褲撫摸婦人下體婦人哭著掙脫跑出宮廟回家向老公泣訴提告審理時張男辯稱婦人因店面頂讓不成陷害他是她要求濟公下來講他全盲看不見婦人說她的胸部很痛拿他的手摸她的胸但孫女與婦人老公均證稱案發後婦人隨即哭著將此事告訴他們對於事發經過與被害人證詞相符法官認為張男於檢方偵訊時坦承犯行審理時卻翻供辯稱我忘了有這樣說過加上他年就曾佯裝神明附身對至宮廟改運的女子表示乳頭借我舔一下對女子指侵遭判刑年月確定此次又再利用類似手法對婦人猥褻因此從重量刑完整新聞連結或短網址備註一個人一天只能張貼一則新聞被刪或自刪也算額度內超貼者水桶請注意發信站批踢踢實業坊來自文章網址新八卦推新北噓新北小宮小廟家廟收一收這很多亂源推八卦版噓乳頭借我舔一下推乳頭借我舔一下推樓下乳頭借我舔一下噓內啊逃就挖增幾累拎啊逃就挖速幾累推八卦推最好瞎子會上八卦啦推異性戀
7,Gossiping,新聞台灣大閘蟹香港驗出戴奧辛超標原來作者看板標題新聞台灣大閘蟹香港驗出戴奧辛超標原來時間媒體來源自由時報記者署名記者鄭淑婷桃園報導完整新聞標題台灣大閘蟹香港驗出戴奧辛超標原來是中國貨假冒台貨出口完整新聞內文在桃園市經營水產批發及零售的蔡姓男子年月出口大閘蟹到香港被香港特區政府食物暨環境衛生部驗出戴奧辛及戴奧辛多氯聯苯超標達每克皮克經桃園地檢署桃園市調處分案調查發現蔡男當時出口兩批共公斤大閘蟹到香港除了其中公斤是張姓友人在新北市養殖其餘都是從中國進口但蔡男卻託人偽造台灣桃園生產的標籤桃園地院法官日前審結依妨害農工商罪判處共應執行有期徒刑月判決指出蔡男於年月日出口兩批大閘蟹到香港其中被驗出戴奧辛及戴奧辛多氯聯苯超標經檢調追查發現蔡男出口的大閘蟹聲稱是在桃園市中壢區某溜池養殖實際上僅有公斤是張姓友人在新北市五股區養殖其餘都是從中國進口再委託不知情的報關行錢姓業者向台灣省商業會中華民國全國商業總會核發原產地證明並指示錢姓業者在原產地證明上註記養殖處為桃園市中壢區某溜池蔡男行為已涉犯妨害農工商罪意圖欺騙他人而就商品之原產國為虛偽之表示蔡男一開始矢口否認犯行稱大閘蟹有一部分是從中國買來蟹苗後在台灣養殖另一部分是跟張姓友人調貨並稱驗出戴奧辛的原因很多包括環境污染也有可能不過後來檢調找來張姓友人與蔡男對質張姓友人證稱提供給蔡男的大閘蟹一部分是他在新北市養殖其他的都是調用中國進口的成蟹而且蔡男也未告知他是要出口到香港的蔡男後來也坦承知道大部分的大閘蟹是中國貨買家要求他另附產地證明時他才會以先前曾養殖過蟹苗的桃園市中壢區某溜池作為產地標示桃園地院法官指出蔡男行為已涉犯刑法妨害農工商意圖欺騙他人而就商品之原產國為虛偽表示罪而他利用向我國各單位申請原產地證明各單位並無實地查核的漏洞申請核發虛偽的原產地證明後將中國大閘蟹假冒為台灣貨出口到香港不僅造成香港買方損害也對台灣貿易名聲造成極大損害且此案是因被檢出戴奧辛進而追查出來蔡男在檢調偵訊時供詞反覆直到偵訊最後才坦承到了法院審理時又翻供顯有卸責犯後態度不佳等情形審結判處他共應執行有期徒刑個月如易科罰金以每日元折算完整新聞連結或短網址
8,Gossiping,問卦為什麼上傳檔案要放不是放雲端作者看板標題問卦為什麼上傳檔案要放不是放雲端時間為什麼看到一堆人檔案都放給人家下載不是放雲端一天才幾根本下載不完不像要下多少都行有了幹嘛還要用
9,Gossiping,新聞快訊大巨蛋案怒斥簡舒培竊聽柯怒新作者看板標題新聞快訊大巨蛋案怒斥簡舒培竊聽柯怒新時間採購法本來就允許錄音錄影竊聽柯當市長這麼久還天到晚胡扯頂多是簡拿著這段錄音去質詢合不合理不過她是議員我是認為她有權拿到這段錄音就像拿到會議記錄應該是合理如果是柯私下橋蛋只能說科科了
10,Gossiping,問卦明天凱道會有幾萬人啊作者像大樹一樣高看板標題問卦明天凱道會有幾萬人啊時間好緊張明天就要跟妹去凱道約會惹她說這是今年台灣最大型的活動希望可以跟我一起見證歷史的一刻聽說好像很多朋友也會去到底明天會有幾萬人路過凱道呢會不會被寫進歷史課本啊
